Phase,Station,Station Lat (¼),Station Lon (¼),Station Zed (km),Event Lat (¼),Event Lon (¼),Event Depth (km),Delay Time (s),Bandpass (Hz)
 P, TL01,-9.2068,124.3642,0.021,7.7448,94.3342,21.54,-1.31136, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,7.7448,94.3342,21.54,0.92189, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,7.7448,94.3342,21.54,-0.30297, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,7.7448,94.3342,21.54,-0.69976, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,7.7448,94.3342,21.54,0.46217, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,7.7448,94.3342,21.54,0.93003, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-26.1692,179.2877,495,-0.22115, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-26.1692,179.2877,495,0.26347, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-26.1692,179.2877,495,-0.18978, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-26.1692,179.2877,495,-1.27889, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-26.1692,179.2877,495,0.88633, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-12.0989,166.5894,98,0.50099, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-10.5365,161.7027,57,-0.62823, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-10.5365,161.7027,57,-0.51135, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-10.5365,161.7027,57,-0.4783, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-11.2701,162.1481,22.56,-0.67896, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-11.2701,162.1481,22.56,0.57467, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-11.2701,162.1481,22.56,0.60107, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-11.2701,162.1481,22.56,-0.83448, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-11.2701,162.1481,22.56,0.56362, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-11.2701,162.1481,22.56,-0.22593, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-11.4633,162.0511,39,0.11281, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-11.4633,162.0511,39,0.67486, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-11.4633,162.0511,39,-0.41309, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-11.4633,162.0511,39,0.6896, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-11.4633,162.0511,39,0.14184, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-11.1387,164.8139,10,-0.33572, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-11.1387,164.8139,10,0.60477, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-20.752,-174.7068,45,-0.02777, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-21.4542,170.3546,106,-0.56428, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-21.4542,170.3546,106,0.24086, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-21.4542,170.3546,106,-0.11436, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-21.4542,170.3546,106,-0.77772, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-21.4542,170.3546,106,0.27379, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-21.4542,170.3546,106,1.14479, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-24.6108,179.0856,527,-0.64293, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-24.6108,179.0856,527,0.33483, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-24.6108,179.0856,527,0.05626, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-24.6108,179.0856,527,-0.91673, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-24.6108,179.0856,527,0.2405, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-24.6108,179.0856,527,-0.28691, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-24.6108,179.0856,527,1.21498, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,34.9118,139.4186,153,1.95474, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,19.6557,99.6696,6,0.6521, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,19.6557,99.6696,6,-0.66074, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,19.6557,99.6696,6,-0.17828, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,19.6557,99.6696,6,-0.56143, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,19.6557,99.6696,6,0.74835, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-10.1229,91.0921,4,1.67715, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-10.1229,91.0921,4,-1.10419, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-10.1229,91.0921,4,1.24033, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-13.5585,166.8278,36,-0.29054, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-13.5585,166.8278,36,0.33977, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-13.5585,166.8278,36,-1.01424, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-13.5585,166.8278,36,0.24083, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-13.5585,166.8278,36,0.04942, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-29.9772,-177.7247,20,-0.37561, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-29.9772,-177.7247,20,0.1261, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-29.9772,-177.7247,20,-0.1178, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-29.9772,-177.7247,20,-1.26117, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-29.9772,-177.7247,20,-0.0614, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-29.9772,-177.7247,20,0.21509, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-29.9772,-177.7247,20,0.1167, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-29.9772,-177.7247,20,1.35809, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,51.8486,178.7352,109,-0.22181, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,51.8486,178.7352,109,0.19872, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,51.8486,178.7352,109,-0.62586, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,51.8486,178.7352,109,-0.33418, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,51.8486,178.7352,109,0.55596, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,51.8486,178.7352,109,0.42717, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,51.9558,178.4563,102.85,-0.08226, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,51.9558,178.4563,102.85,1.0754, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,51.9357,178.4288,101.88,0.51321, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,51.9357,178.4288,101.88,-1.88224, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,51.9357,178.4288,101.88,-1.10203, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,51.9357,178.4288,101.88,1.97756, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,52.2045,176.6981,4,-0.1743, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,52.2045,176.6981,4,0.55611, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,52.2045,176.6981,4,-0.38182, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,24.3877,142.6278,48,0.0457, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-14.7798,-175.2589,9,-1.00886, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-14.7798,-175.2589,9,0.15307, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-14.7798,-175.2589,9,0.00237, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,28.3404,138.8441,511,0.2636, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,28.3404,138.8441,511,0.12237, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,28.3404,138.8441,511,0.12917, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-30.4601,-176.4451,35,-0.30251, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-30.4601,-176.4451,35,0.86417, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-30.4601,-176.4451,35,0.63883, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-30.4601,-176.4451,35,-0.35513, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-30.4601,-176.4451,35,0.55473, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-30.4601,-176.4451,35,0.85563, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,1.9335,96.9388,20,0.02123, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,1.9335,96.9388,20,-0.35856, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,1.9335,96.9388,20,-0.05076, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,1.9335,96.9388,20,-1.06879, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,1.9335,96.9388,20,1.68685, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-17.6864,168.3982,110.24,0.67512, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-17.6864,168.3982,110.24,-0.35939, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-17.6864,168.3982,110.24,-0.98906, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-17.6864,168.3982,110.24,0.35768, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-17.6864,168.3982,110.24,0.31566, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,37.0052,142.4525,20,-0.03311, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,37.0052,142.4525,20,-0.04837, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,37.0052,142.4525,20,-0.11496, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,37.0052,142.4525,20,0.19644, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-15.8239,-174.4517,227.27,-0.48852, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-15.8239,-174.4517,227.27,0.64185, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-15.8239,-174.4517,227.27,-1.0573, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-15.8239,-174.4517,227.27,0.51734, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-15.8239,-174.4517,227.27,0.1128, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,44.6419,148.7838,61,0.41615, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,44.6419,148.7838,61,0.34383, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,44.6419,148.7838,61,-0.10863, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,44.6419,148.7838,61,-0.65135, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-19.8015,-178.4001,615.42,-0.3297, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-19.8015,-178.4001,615.42,0.4596, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-19.8015,-178.4001,615.42,0.16639, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-19.8015,-178.4001,615.42,-1.04626, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-19.8015,-178.4001,615.42,0.31849, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-19.8015,-178.4001,615.42,0.39808, 0.02-0.1
 P, TL07,-8.8558,126.3628,0.056,-19.8015,-178.4001,615.42,0.03339, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,32.703,47.695,10.2,0.62372, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,32.703,47.695,10.2,-0.73328, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,32.703,47.695,10.2,-1.19379, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,32.703,47.695,10.2,-0.46411, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,32.703,47.695,10.2,-0.48993, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,32.703,47.695,10.2,0.97314, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,32.5827,47.7037,5,-0.38841, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,32.5827,47.7037,5,0.87099, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,32.5827,47.7037,5,-0.66698, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,32.5827,47.7037,5,-1.50188, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,32.5827,47.7037,5,0.19002, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,32.5827,47.7037,5,-0.53612, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,32.5827,47.7037,5,1.05568, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-21.3869,-173.3232,35,0.053, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-21.3869,-173.3232,35,-1.15433, 0.02-0.1
 P, TL05,-8.9853,125.6598,0.502,-21.3869,-173.3232,35,0.06887, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-21.3869,-173.3232,35,0.04635, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-21.3869,-173.3232,35,0.98611, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-15.2954,-174.6752,8,-0.76276, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-15.2954,-174.6752,8,-0.68287, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-15.2954,-174.6752,8,-0.9231, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-15.2954,-174.6752,8,-0.01069, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-15.2954,-174.6752,8,0.49047, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-15.2954,-174.6752,8,-1.16205, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-15.2954,-174.6752,8,0.33514, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-15.2954,-174.6752,8,1.50097, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-19.6903,-177.7587,434,-0.85437, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-19.6903,-177.7587,434,-0.80628, 0.02-0.1
 P, GREG,-10.8919,122.8225,0.005,-19.6903,-177.7587,434,1.35009, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,-19.6903,-177.7587,434,-0.72571, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-19.6903,-177.7587,434,-0.28644, 0.02-0.1
 P, MALK,-9.5794,124.8743,0.05,-19.6903,-177.7587,434,0.46325, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-19.6903,-177.7587,434,-0.41236, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-19.6903,-177.7587,434,-0.66803, 0.02-0.1
 P, NOMU,-9.5565,124.5051,0.361,-19.6903,-177.7587,434,0.74206, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-19.6903,-177.7587,434,0.47686, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-19.6903,-177.7587,434,-0.2049, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-19.6903,-177.7587,434,0.54705, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-19.6903,-177.7587,434,-1.08893, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-19.6903,-177.7587,434,0.35052, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-19.6903,-177.7587,434,1.17578, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-61.2203,154.2778,10,-0.57331, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-61.2203,154.2778,10,-0.88294, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,-61.2203,154.2778,10,-0.3827, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-61.2203,154.2778,10,-0.95191, 0.02-0.1
 P, MALK,-9.5794,124.8743,0.05,-61.2203,154.2778,10,0.16625, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-61.2203,154.2778,10,-0.47163, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-61.2203,154.2778,10,-1.07917, 0.02-0.1
 P, NOMU,-9.5565,124.5051,0.361,-61.2203,154.2778,10,0.91582, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-61.2203,154.2778,10,0.54052, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-61.2203,154.2778,10,0.54394, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-61.2203,154.2778,10,0.14001, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-61.2203,154.2778,10,-0.29945, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-61.2203,154.2778,10,0.58324, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,-61.2203,154.2778,10,1.75133, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-41.7317,79.9602,10,-0.66555, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-41.7317,79.9602,10,-0.56057, 0.02-0.1
 P, GREG,-10.8919,122.8225,0.005,-41.7317,79.9602,10,1.0073, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,-41.7317,79.9602,10,-0.3724, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-41.7317,79.9602,10,-0.00411, 0.02-0.1
 P, MALK,-9.5794,124.8743,0.05,-41.7317,79.9602,10,0.04087, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-41.7317,79.9602,10,-0.06265, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-41.7317,79.9602,10,-0.38296, 0.02-0.1
 P, NOMU,-9.5565,124.5051,0.361,-41.7317,79.9602,10,0.31687, 0.02-0.1
 P, PPLA,-10.6113,123.3805,0.028,-41.7317,79.9602,10,1.05564, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-41.7317,79.9602,10,0.26517, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-41.7317,79.9602,10,0.29258, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-41.7317,79.9602,10,-1.785, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-41.7317,79.9602,10,-0.01003, 0.02-0.1
 P, ALRB,-8.2194,124.4115,0.069,-15.2155,173.0845,10,-0.37762, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-15.2155,173.0845,10,-0.38372, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-15.2155,173.0845,10,-0.23065, 0.02-0.1
 P, ENDE,-8.8318,121.6523,0.159,-15.2155,173.0845,10,-0.33196, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,-15.2155,173.0845,10,-0.30798, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-15.2155,173.0845,10,-0.06396, 0.02-0.1
 P, LMBR,-8.7922,120.6631,0.205,-15.2155,173.0845,10,-0.53234, 0.02-0.1
 P, MALK,-9.5794,124.8743,0.05,-15.2155,173.0845,10,0.61152, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-15.2155,173.0845,10,0.06806, 0.02-0.1
 P, MTNG,-8.2969,125.1025,0.108,-15.2155,173.0845,10,-0.72631, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-15.2155,173.0845,10,-0.02587, 0.02-0.1
 P, NOMU,-9.5565,124.5051,0.361,-15.2155,173.0845,10,0.99213, 0.02-0.1
 P, PAGL,-8.5091,120.4916,0.938,-15.2155,173.0845,10,-0.65801, 0.02-0.1
 P, SARA,-8.7873,121.1043,0.682,-15.2155,173.0845,10,-0.21288, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-15.2155,173.0845,10,1.00385, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-15.2155,173.0845,10,0.76368, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-15.2155,173.0845,10,-0.53649, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-15.2155,173.0845,10,0.78522, 0.02-0.1
 P, ALRB,-8.2194,124.4115,0.069,-37.6478,179.6621,22,-0.33584, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-37.6478,179.6621,22,-0.46932, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-37.6478,179.6621,22,-0.40072, 0.02-0.1
 P, ENDE,-8.8318,121.6523,0.159,-37.6478,179.6621,22,-0.89559, 0.02-0.1
 P, GREG,-10.8919,122.8225,0.005,-37.6478,179.6621,22,1.87693, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,-37.6478,179.6621,22,-0.34005, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-37.6478,179.6621,22,-0.23189, 0.02-0.1
 P, LMBR,-8.7922,120.6631,0.205,-37.6478,179.6621,22,-0.83657, 0.02-0.1
 P, MALK,-9.5794,124.8743,0.05,-37.6478,179.6621,22,0.61399, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-37.6478,179.6621,22,-0.00863, 0.02-0.1
 P, MTNG,-8.2969,125.1025,0.108,-37.6478,179.6621,22,-0.48354, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-37.6478,179.6621,22,-0.56283, 0.02-0.1
 P, NOMU,-9.5565,124.5051,0.361,-37.6478,179.6621,22,1.05546, 0.02-0.1
 P, PAGL,-8.5091,120.4916,0.938,-37.6478,179.6621,22,-0.57216, 0.02-0.1
 P, SARA,-8.7873,121.1043,0.682,-37.6478,179.6621,22,-0.64528, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-37.6478,179.6621,22,0.58531, 0.02-0.1
 P, TL01,-9.2068,124.3642,0.021,-37.6478,179.6621,22,0.3394, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,-37.6478,179.6621,22,0.68998, 0.02-0.1
 P, TL03,-8.6043,125.5572,0.692,-37.6478,179.6621,22,0.3289, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-37.6478,179.6621,22,-0.35738, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,-37.6478,179.6621,22,0.64982, 0.02-0.1
 P, ALRB,-8.2194,124.4115,0.069,-46.3484,33.8037,10,-0.66878, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-46.3484,33.8037,10,0.13011, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-46.3484,33.8037,10,-0.27352, 0.02-0.1
 P, ENDE,-8.8318,121.6523,0.159,-46.3484,33.8037,10,-0.0724, 0.02-0.1
 P, LMBR,-8.7922,120.6631,0.205,-46.3484,33.8037,10,0.22008, 0.02-0.1
 P, RENG,-8.6048,120.0651,0.491,-46.3484,33.8037,10,0.39689, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,-46.3484,33.8037,10,-1.38149, 0.02-0.1
 P, ALRB,-8.2194,124.4115,0.069,36.6408,137.8875,9,1.42238, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,36.6408,137.8875,9,1.07845, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,36.6408,137.8875,9,1.02571, 0.02-0.1
 P, ENDE,-8.8318,121.6523,0.159,36.6408,137.8875,9,-0.16496, 0.02-0.1
 P, GREG,-10.8919,122.8225,0.005,36.6408,137.8875,9,0.82735, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,36.6408,137.8875,9,1.53041, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,36.6408,137.8875,9,-1.89323, 0.02-0.1
 P, LEGO,-9.7124,123.9533,0.889,36.6408,137.8875,9,0.44381, 0.02-0.1
 P, LMBR,-8.7922,120.6631,0.205,36.6408,137.8875,9,-0.6594, 0.02-0.1
 P, MALK,-9.5794,124.8743,0.05,36.6408,137.8875,9,0.18184, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,36.6408,137.8875,9,-2.09636, 0.02-0.1
 P, MTNG,-8.2969,125.1025,0.108,36.6408,137.8875,9,1.09542, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,36.6408,137.8875,9,-1.97575, 0.02-0.1
 P, NOMU,-9.5565,124.5051,0.361,36.6408,137.8875,9,0.56466, 0.02-0.1
 P, ONIX,-10.1033,124.4498,0.159,36.6408,137.8875,9,0.54213, 0.02-0.1
 P, PAGL,-8.5091,120.4916,0.938,36.6408,137.8875,9,-0.20262, 0.02-0.1
 P, RENG,-8.6048,120.0651,0.491,36.6408,137.8875,9,-0.32957, 0.02-0.1
 P, SARA,-8.7873,121.1043,0.682,36.6408,137.8875,9,-0.01603, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,36.6408,137.8875,9,-0.61943, 0.02-0.1
 P, TL02,-8.9884,125.208,0.271,36.6408,137.8875,9,1.27718, 0.02-0.1
 P, TL04,-8.2213,125.6065,0.012,36.6408,137.8875,9,0.83046, 0.02-0.1
 P, TL06,-8.4718,126.4576,0.431,36.6408,137.8875,9,0.11867, 0.02-0.1
 P, TL08,-8.4947,126.9908,0.398,36.6408,137.8875,9,0.95955, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,-6.5108,154.4603,23,-0.41678, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,-6.5108,154.4603,23,-0.38522, 0.02-0.1
 P, ENDE,-8.8318,121.6523,0.159,-6.5108,154.4603,23,-0.97382, 0.02-0.1
 P, GREG,-10.8919,122.8225,0.005,-6.5108,154.4603,23,1.81201, 0.02-0.1
 P, HADA,-8.3722,123.5454,0.029,-6.5108,154.4603,23,0.02887, 0.02-0.1
 P, KPAR,-9.802,119.9462,0.6,-6.5108,154.4603,23,-0.37936, 0.02-0.1
 P, LEGO,-9.7124,123.9533,0.889,-6.5108,154.4603,23,2.5918, 0.02-0.1
 P, LMBR,-8.7922,120.6631,0.205,-6.5108,154.4603,23,-1.40326, 0.02-0.1
 P, MELO,-9.8698,120.6445,0.026,-6.5108,154.4603,23,-0.35074, 0.02-0.1
 P, NAPU,-9.3939,119.93,0.217,-6.5108,154.4603,23,-1.17014, 0.02-0.1
 P, PAGL,-8.5091,120.4916,0.938,-6.5108,154.4603,23,-1.24231, 0.02-0.1
 P, PPLA,-10.6113,123.3805,0.028,-6.5108,154.4603,23,2.46432, 0.02-0.1
 P, RENG,-8.6048,120.0651,0.491,-6.5108,154.4603,23,-1.15665, 0.02-0.1
 P, SARA,-8.7873,121.1043,0.682,-6.5108,154.4603,23,-0.70163, 0.02-0.1
 P, SAVU,-10.5476,121.8613,0.12,-6.5108,154.4603,23,1.2829, 0.02-0.1
 P, ALRB,-8.2194,124.4115,0.069,25.5403,122.4503,256,1.1137, 0.02-0.1
 P, BAOP,-8.4882,123.2696,0.067,25.5403,122.4503,256,1.08315, 0.02-0.1
 P, BKOR,-8.4868,122.5509,0.083,25.5403,122.4503,256,1.14532, 0.02-0.1
 P, ENDE,-8.8318,121.6523,0.159,25.5403,122.4503,256,0.15679, 0.02-0.1
